column_name,type,required?,autogenerated by ingestion script?,description
original_url,string,yes,autogenerated from title if possible,URL for the paper that contained the original experiment - always use http://doi.org/{DOI}  if available 
replication_url,string,yes,autogenerated from title if possible,URL for the paper that contained the replication experiment - always use http://doi.org/{DOI}  if available 
description,string,yes,no,One sentence description of the effect that was found in the original paper which the replication paper attempted to replicate
result,"“success” OR “failure” OR “inconclusive” OR “reversal""",yes,no,"Result of the replication – success, failure, inconclusive, or reversal. Human or AI judgement here. If stats are available, additional judgements will be calculated and put in new rows."
original_authors,semicolon separated list,no,autogenerated from doi url if possible,Full names of authors on original paper
original_title,string,no,autogenerated from doi url if possible,title of the original paper in sentence case (only first word capitalized)
original_journal,string,no,autogenerated from doi url if possible,full name of journal or venue for original paper
original_volume,integer,no,autogenerated from doi url if possible,"volume number for original paper, if applicable"
original_issue,integer,no,autogenerated from doi url if possible,"issue number for original paper, if applicable"
original_pages,string,no,autogenerated from doi url if possible,"page numbers for original paper, if applicable"
original_year,integer,no,autogenerated from doi url if possible,year the original paper was published in the journal
replication_authors,semicolon separated list,no,autogenerated from doi url if possible,Full names of authors on replication paper
replication_title,string,no,autogenerated from doi url if possible,title of the replication paper in sentence case (only first word capitalized)
replication_journal,string,no,autogenerated from doi url if possible,full name of journal or venue for replication paper
replication_volume,integer,no,autogenerated from doi url if possible,"volume number for replication paper, if applicable"
replication_issue,integer,no,autogenerated from doi url if possible,"issue number for replication paper, if applicable"
replication_pages,string,no,autogenerated from doi url if possible,"page numbers for replication paper, if applicable"
replication_year,integer,no,autogenerated from doi url if possible,year the replication paper was published in the journal
original_n,positive integer,no,no,"Total number of human subjects in the original experiment, if applicable"
original_es,float,no,no,Effect size in the original experiment
original_es_type,string,no,no,"type of effect size (d = cohen’s d, etasq, r = pearsons r, etc)"
original_es_95_CI,"[float, float]",no,no,95% confidence interval for the effect size in the original study
original_p_value,float,no,no,original p value 
original_p_value_type,,no,no,
original_p_value_tails,“one” OR “two” OR “”,no,no,Whether the p value is for one or two tails
replication_n,positive integer,no,no,"Total number of human subjects in the replication experiment, if applicable"
replication_es,float,no,no,
replication_es_type,string,no,no,"type of effect size (d = cohen’s d, etasq, r = pearsons r, etc)"
replication_es_95_CI,"[float, float]",no,no,95% confidence interval for the effect size in the replication
replication_p_value,float,no,no,replication p value
replication_p_value_type,,no,no,Whether the p value is for one or two tails
replication_p_value_tails,“one” OR “two” OR “”,no,no,
discipline,string - all lower case,no,no,"manually curated discipline category label (ie economics, psychology, neuroscience, etc)"
tags,semicolon separated list,no,no,set of manually curated tags to enable search
validated,"“yes"" OR ""no""",no,no,has the core required data been validated by a human at least once?
validated_person,string,no,no,"name of the person and/or organization who did the validation, if applicable"
openalex_field,string,no,maybe,
openalex_subfield,string,no,maybe,
replication_citation_html,string,no,yes,
original_citation_html,string,no,yes,